"","X..dex","pokemon","pokeapi.name","complexity","realism","artificiality","fantasy","humanoid","cuteness","coolness","beauty","popularity","rating.count"
"1",1,"Bulbasaur","bulbasaur",2.1538,2.0577,1.3269,3.5769,1.1346,4.4615,3.75,3.4423,4.3462,52
"2",2,"Ivysaur","ivysaur",2.9615,2.8077,1.4808,3.6154,1.1731,3.5,4,3.3077,4.1923,52
"3",3,"Gigantamax Venusaur","venusaur-gmax",4.2885,2.1346,1.6154,4.4423,1.1731,1.8654,3.9423,2.0769,3.7115,52
"4",3,"Mega Venusaur","venusaur-mega",4.451,2.7647,1.549,4.3529,1.098,2.3922,4.2353,3.1373,4.098,51
"5",3,"standard Venusaur","venusaur",3.6923,3.6346,1.4808,3.7885,1.1346,2.3846,4.1346,2.3077,4.3077,52
"6",4,"Charmander","charmander",1.6667,2.2941,1.3725,3.5294,2.3725,4.2549,3.6471,3.4314,3.8431,51
"7",5,"Charmeleon","charmeleon",1.9412,2.8431,1.6667,3.549,2.7255,2.4902,3.9608,2.8627,3.6471,51
"8",6,"Gigantamax Charizard","charizard-gmax",4.2549,2.6667,1.9608,4.6471,1.9412,1.4902,4.0392,2.7843,3.0588,51
"9",6,"Mega Charizard X","charizard-mega-x",3.8846,2.7115,1.9615,4.6923,2.4615,2.0192,4.3846,3.2692,3.8846,52
"10",6,"Mega Charizard Y","charizard-mega-y",3.6538,2.8077,1.6923,4.4615,2.1538,2.1538,4.3654,3.4808,3.7308,52
"11",6,"standard Charizard","charizard",2.6346,2.7115,1.5577,4.2885,2.2308,2.2308,4.1731,3.2308,3.9423,52
"12",7,"Squirtle","squirtle",1.7885,2.7115,1.3077,2.2115,2.1731,4.5192,3.75,3.5962,4.1154,52
"13",8,"Wartortle","wartortle",2.4615,2.3846,1.6731,3.0577,2.5769,3.4615,3.8654,3.3077,3.9615,52
"14",9,"Gigantamax Blastoise","blastoise-gmax",4.5192,2.5192,3.6923,4.1923,2.4038,1.8077,4.1538,2.8462,3.5769,52
"15",9,"Mega Blastoise","blastoise-mega",3.8431,2.1373,3.3333,4.0196,2.4118,2.0196,4.1176,2.8235,3.549,51
"16",9,"standard Blastoise","blastoise",2.9412,3.1569,2.5882,3.2745,2.451,2.2745,4.2549,2.8431,3.9804,51
"17",12,"Gigantamax Butterfree","butterfree-gmax",3.2745,2.4902,1.5294,3.7451,1.3333,4.098,3.6078,4.4314,3.9216,51
"18",15,"Mega Beedrill","beedrill-mega",4.1961,2.7843,2.6275,3.6667,1.4118,1.7451,4.549,3.0392,4.0588,51
"19",15,"standard Beedrill","beedrill",2.7843,2.902,1.6078,2.6275,2.2745,2.0588,4.0784,2.8824,3.6275,51
"20",17,"Pidgeotto","pidgeotto",2.3654,3.6731,1.3654,1.6346,1.3077,2.5192,3.5385,3.3654,3.4038,52
"21",18,"Mega Pidgeot","pidgeot-mega",3.4423,3.2692,1.4038,2.6346,1.2692,2.5,4.1154,3.6538,3.7308,52
"22",18,"standard Pidgeot","pidgeot",2.2308,3.9615,1.1154,1.5769,1.1154,2.6346,3.9038,3.5577,3.5769,52
"23",24,"Arbok","arbok",2.2692,4.0577,1.1923,1.8077,1.2308,2.1538,4.0192,3.1346,3.6538,52
"24",25,"Gigantamax Pikachu","pikachu-gmax",1.9808,1.2308,2,3.6923,1.75,4.1923,3.5577,3.1923,3.75,52
"25",25,"standard Pikachu","pikachu",1.7692,1.7885,1.5962,3,1.6923,4.3462,3.4808,3.4615,3.8077,52
"26",26,"Alolan Raichu","raichu-alola",2.5577,1.5577,1.9423,3.8654,2.5192,4.3269,3.6538,3.8462,3.9615,52
"27",26,"standard Raichu","raichu",2.1569,2,1.5294,3.2745,2.1373,4.3529,4.0392,3.6667,4.1373,51
"28",27,"Alolan Sandshrew","sandshrew-alola",2.4314,2.3137,2.3137,3.1569,1.902,4.2157,3.5098,3.5294,4.0392,51
"29",27,"standard Sandshrew","sandshrew",1.8654,3.0385,1.4038,1.9231,1.6538,4.5769,3.6346,3.4615,4.1731,52
"30",28,"Alolan Sandslash","sandslash-alola",3.1569,2.6667,2.2549,3.5098,2,3.3529,4.2941,3.5294,4.1176,51
"31",28,"standard Sandslash","sandslash",2.6923,3.5962,1.3462,2.0385,1.8269,3.3269,4.1346,3.1154,4.0192,52
"32",30,"Nidorina","nidorina",2.8462,3.0385,1.5,2.9038,2.0577,3.3654,3.5769,3.1346,3.7115,52
"33",31,"Nidoqueen","nidoqueen",3.0577,2.5,1.7115,3.3269,3.0192,2.6538,3.5769,2.9423,3.5962,52
"34",32,"Male Nidoran","nidoran-m",2.3846,2.6731,1.2885,2.7885,1.0962,3.8654,3.7692,2.9423,3.9808,52
"35",33,"Nidorino","nidorino",2.8846,3.5577,1.5577,2.9423,1.25,2.2115,3.8654,2.5192,3.7308,52
"36",34,"Nidoking","nidoking",3.6538,2.7885,2,3.8077,2.9808,1.6731,4.3654,2.6538,3.9038,52
"37",37,"Alolan Vulpix","vulpix-alola",1.8269,2.5577,1.3846,3.3846,1.1731,4.7885,3.4038,4.6346,4.4231,52
"38",38,"Alolan Ninetales","ninetales-alola",3.0962,3.0385,1.4615,4.1346,1.0962,4.1923,4.1923,4.7692,4.4423,52
"39",38,"standard Ninetales","ninetales",2.4038,3.8269,1.1923,3.5,1.2308,3.9423,4.2115,4.6346,4.1923,52
"40",45,"Vileplume","vileplume",1.9608,2.3529,1.3137,3.2941,2.4706,3.8824,3.3529,3.4902,3.8824,51
"41",53,"standard Persian","persian",1.5385,3.9615,1.4231,1.5385,1.3077,3.0192,3.4615,3.5577,3.5192,52
"42",55,"Golduck","golduck",2.0392,2.8235,1.6667,3.1373,3.2353,2.098,3.3725,2.5686,3.2549,51
"43",56,"Mankey","mankey",1.8077,2.7308,1.5962,2.2308,2.9038,2.5577,3.3077,2.25,3.25,52
"44",57,"Primeape","primeape",2.1154,2.1731,1.8462,2.5385,3.5769,1.8846,3.5192,2,3.3462,52
"45",58,"Hisuian Growlithe","growlithe-hisui",2.3333,2.4314,1.6275,2.8431,1.1765,4.4118,3.5098,3.4706,3.8431,51
"46",58,"standard Growlithe","growlithe",2.4314,3.1373,1.3333,2.3725,1.1176,4.3922,3.9412,3.6863,4.1961,51
"47",59,"Hisuian Arcanine","arcanine-hisui",3.9231,3.0385,2.0385,3.9423,1.1346,3.1731,4.4808,3.6346,4.2308,52
"48",59,"standard Arcanine","arcanine",3.1154,3.7692,1.2885,2.7885,1.1154,3.8269,4.4231,4.0385,4.25,52
"49",62,"Poliwrath","poliwrath",1.6538,1.5,1.6538,3.1154,3.8077,1.9808,3.3846,2.4615,3.3462,52
"50",63,"Abra","abra",2.6731,2.3846,2.1538,3.6923,3.6346,4.0385,3.3269,3.0769,3.9038,52
"51",64,"Kadabra","kadabra",3.5385,2.5385,2.4423,4.4038,4,1.9038,3.9423,2.7885,3.7308,52
"52",65,"Mega Alakazam","alakazam-mega",3.8824,2.2157,2.6078,4.6078,4.5882,1.7647,3.8824,2.6275,3.6863,51
"53",65,"standard Alakazam","alakazam",3.4615,2.7692,2.3077,4.4038,4.3077,1.6923,4.1538,2.7308,4.0962,52
